,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Year_Quarter
0,2019,1,Birnin-Gwari,58,58,0,58,25,0,2,56,0,0,2019 Q1
1,2019,1,Chikun,346,306,40,322,66,0,99,222,25,0,2019 Q1
2,2019,1,Giwa,201,201,0,201,38,1,16,185,0,0,2019 Q1
3,2019,1,Igabi,261,251,10,261,70,3,10,251,0,0,2019 Q1
4,2019,1,Ikara,209,205,4,209,13,0,5,204,0,0,2019 Q1
5,2019,1,Jaba,142,140,2,142,20,0,1,141,0,0,2019 Q1
6,2019,1,Jema'a,336,278,58,336,71,1,64,264,8,0,2019 Q1
7,2019,1,Kachia,266,263,3,266,43,0,2,264,0,0,2019 Q1
8,2019,1,Kaduna North,943,842,101,943,101,4,99,844,0,0,2019 Q1
9,2019,1,Kaduna South,671,585,86,671,159,1,147,523,1,0,2019 Q1
10,2019,1,Kagarko,106,106,0,106,18,0,3,103,0,0,2019 Q1
11,2019,1,Kajuru,60,60,0,60,10,0,0,60,0,0,2019 Q1
12,2019,1,Kaura,151,142,9,151,26,1,7,144,0,0,2019 Q1
13,2019,1,Kauru,60,60,0,60,11,0,0,60,0,0,2019 Q1
14,2019,1,Kubau,196,152,44,196,15,0,4,192,0,0,2019 Q1
15,2019,1,Kudan,160,159,1,160,13,0,1,159,0,0,2019 Q1
16,2019,1,Lere,476,469,7,476,30,1,1,475,0,0,2019 Q1
17,2019,1,Markafi,196,188,8,196,24,0,3,193,0,0,2019 Q1
18,2019,1,Sabon-Gari,169,169,0,169,34,0,0,169,0,169,2019 Q1
19,2019,1,Sanga,252,224,28,252,30,0,46,206,0,0,2019 Q1
20,2019,1,Soba,34,32,2,34,12,0,2,32,0,0,2019 Q1
21,2019,1,Zango-Kataf,114,114,0,114,18,1,3,111,0,0,2019 Q1
22,2019,1,Zaria,266,245,21,266,93,1,19,247,0,0,2019 Q1
23,2019,2,Birnin-Gwari,30,30,0,30,18,0,0,30,0,0,2019 Q2
24,2019,2,Chikun,403,382,21,369,65,0,77,304,22,1,2019 Q2
