Year,Quarter,LGA,PTB Cases,EPTB Cases,Total TB Cases notified,Cluster,Distance,Year_Quarter
2019,1,Birnin-Gwari,25,0,25,1,-347.8011786,2019 Q1
2019,2,Birnin-Gwari,19,0,19,1,-347.7121782,2019 Q2
2019,3,Birnin-Gwari,14,0,14,1,-347.6344562,2019 Q3
2019,4,Birnin-Gwari,10,0,10,1,-347.5699517,2019 Q4
2019,1,Chikun,75,5,75,4,12.52484866,2019 Q1
2019,2,Chikun,75,5,75,4,12.52484866,2019 Q2
2019,3,Chikun,73,3,73,4,13.03017899,2019 Q3
2019,4,Chikun,75,2,75,4,13.32590806,2019 Q4
2019,1,Giwa,38,5,38,4,12.98545639,2019 Q1
2019,2,Giwa,51,1,51,2,-345.7631832,2019 Q2
2019,3,Giwa,46,5,46,4,12.87998123,2019 Q3
2019,4,Giwa,46,7,46,4,12.60509934,2019 Q4
2019,1,Igabi,70,4,70,4,12.79822306,2019 Q1
2019,2,Igabi,40,1,40,2,-345.6156404,2019 Q2
2019,3,Igabi,66,1,66,2,-345.9078098,2019 Q3
2019,4,Igabi,76,1,76,2,-345.9679659,2019 Q4
2019,1,Ikara,13,0,13,1,-347.618524,2019 Q1
2019,2,Ikara,20,0,20,1,-347.7273348,2019 Q2
2019,3,Ikara,18,0,18,1,-347.6968923,2019 Q3
2019,4,Ikara,22,2,22,4,14.00720566,2019 Q4
2019,1,Jaba,20,0,20,1,-347.7273348,2019 Q1
2019,2,Jaba,22,0,22,1,-347.7572601,2019 Q2
2019,3,Jaba,12,0,12,1,-347.6024625,2019 Q3
2019,4,Jaba,15,0,15,1,-347.6502591,2019 Q4
2019,1,Jema'a,51,0,51,1,-348.1330696,2019 Q1
2019,2,Jema'a,38,1,38,2,-345.5850432,2019 Q2
2019,3,Jema'a,58,1,58,2,-345.8387982,2019 Q3
2019,4,Jema'a,43,0,43,1,-348.0402569,2019 Q4
2019,1,Kachia,43,0,43,1,-348.0402569,2019 Q1
2019,2,Kachia,44,0,44,1,-348.0523109,2019 Q2
2019,3,Kachia,82,0,82,1,-348.4145736,2019 Q3
2019,4,Kachia,79,0,79,1,-348.3927607,2019 Q4
2019,1,Kaduna North,153,9,153,4,11.43890962,2019 Q1
2019,2,Kaduna North,179,27,179,4,19.98133458,2019 Q2
2019,3,Kaduna North,181,24,181,4,17.34914397,2019 Q3
2019,4,Kaduna North,176,11,176,4,11.4183616,2019 Q4
2019,1,Kaduna South,158,6,158,4,11.58085597,2019 Q1
2019,2,Kaduna South,199,10,199,4,11.18907657,2019 Q2
2019,3,Kaduna South,188,7,188,4,11.27315506,2019 Q3
2019,4,Kaduna South,184,9,184,4,11.22911831,2019 Q4
2019,1,Kagarko,18,0,18,1,-347.6968923,2019 Q1
2019,2,Kagarko,23,0,23,1,-347.7720289,2019 Q2
2019,3,Kagarko,11,2,11,4,14.16646287,2019 Q3
2019,4,Kagarko,16,0,16,1,-347.6659328,2019 Q4
2019,1,Kajuru,10,0,10,1,-347.5699517,2019 Q1
2019,2,Kajuru,10,0,10,1,-347.5699517,2019 Q2
2019,3,Kajuru,20,0,20,1,-347.7273348,2019 Q3
2019,4,Kajuru,21,0,21,1,-347.7423621,2019 Q4
2019,1,Kaura,31,0,31,1,-347.8855252,2019 Q1
2019,2,Kaura,14,0,14,1,-347.6344562,2019 Q2
2019,3,Kaura,18,0,18,1,-347.6968923,2019 Q3
2019,4,Kaura,22,1,22,2,-345.2984925,2019 Q4
2019,1,Kauru,12,0,12,1,-347.6024625,2019 Q1
2019,2,Kauru,13,0,13,1,-347.618524,2019 Q2
2019,3,Kauru,22,0,22,1,-347.7572601,2019 Q3
2019,4,Kauru,19,1,19,2,-345.2364966,2019 Q4
2019,1,Kubau,15,0,15,1,-347.6502591,2019 Q1
2019,2,Kubau,19,0,19,1,-347.7121782,2019 Q2
2019,3,Kubau,17,0,17,1,-347.6814772,2019 Q3
2019,4,Kubau,20,0,20,1,-347.7273348,2019 Q4
2019,1,Kudan,13,0,13,1,-347.618524,2019 Q1
2019,2,Kudan,11,0,11,1,-347.5862717,2019 Q2
2019,3,Kudan,12,0,12,1,-347.6024625,2019 Q3
2019,4,Kudan,23,0,23,1,-347.7720289,2019 Q4
2019,1,Lere,30,1,30,2,-345.4510509,2019 Q1
2019,2,Lere,25,1,25,2,-345.3578776,2019 Q2
2019,3,Lere,24,1,24,2,-345.3383727,2019 Q3
2019,4,Lere,27,1,27,2,-345.3960172,2019 Q4
2019,1,Markafi,24,1,24,2,-345.3383727,2019 Q1
2019,2,Markafi,30,1,30,2,-345.4510509,2019 Q2
2019,3,Markafi,34,0,34,1,-347.9259533,2019 Q3
2019,4,Markafi,43,0,43,1,-348.0402569,2019 Q4
2019,1,Sabon-Gari,34,0,34,1,-347.9259533,2019 Q1
2019,2,Sabon-Gari,47,2,47,4,13.6680845,2019 Q2
2019,3,Sabon-Gari,61,1,61,2,-345.8668533,2019 Q3
2019,4,Sabon-Gari,91,0,91,1,-348.4730315,2019 Q4
2019,1,Sanga,30,0,30,1,-347.8717906,2019 Q1
