,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
0,2019,1,Birnin-Gwari,Male,0,0,2,4,3,4,3,1,17,2019 Q1
1,2019,1,Birnin-Gwari,Female,0,0,0,3,1,0,4,0,8,2019 Q1
2,2019,2,Birnin-Gwari,Male,0,0,3,2,2,2,0,2,11,2019 Q2
3,2019,2,Birnin-Gwari,Female,0,0,3,4,0,1,0,0,8,2019 Q2
4,2019,3,Birnin-Gwari,Male,0,0,1,2,2,0,2,6,13,2019 Q3
5,2019,3,Birnin-Gwari,Female,0,0,0,1,0,0,0,0,1,2019 Q3
6,2019,4,Birnin-Gwari,Male,0,0,0,4,2,0,0,1,7,2019 Q4
7,2019,4,Birnin-Gwari,Female,0,0,0,1,1,0,1,0,3,2019 Q4
8,2019,1,Chikun,Male,0,0,5,14,18,4,3,5,49,2019 Q1
9,2019,1,Chikun,Female,0,0,3,12,4,7,0,0,26,2019 Q1
10,2019,2,Chikun,Male,0,2,7,14,9,5,8,5,50,2019 Q2
11,2019,2,Chikun,Female,0,1,4,5,7,5,3,0,25,2019 Q2
12,2019,3,Chikun,Male,1,1,7,13,18,8,7,2,57,2019 Q3
13,2019,3,Chikun,Female,0,0,4,5,1,5,1,0,16,2019 Q3
14,2019,4,Chikun,Male,0,2,6,10,14,8,4,5,49,2019 Q4
15,2019,4,Chikun,Female,0,1,2,8,11,1,3,0,26,2019 Q4
16,2019,1,Giwa,Male,6,3,3,0,2,0,2,2,18,2019 Q1
17,2019,1,Giwa,Female,2,2,4,4,5,3,0,0,20,2019 Q1
18,2019,2,Giwa,Male,9,3,2,7,1,1,3,2,28,2019 Q2
19,2019,2,Giwa,Female,7,6,4,4,1,0,1,0,23,2019 Q2
20,2019,3,Giwa,Male,10,6,4,5,2,0,3,1,31,2019 Q3
21,2019,3,Giwa,Female,5,2,0,2,1,4,1,0,15,2019 Q3
22,2019,4,Giwa,Male,5,8,1,4,0,0,0,1,19,2019 Q4
23,2019,4,Giwa,Female,6,13,1,3,2,1,1,0,27,2019 Q4
24,2019,1,Igabi,Male,0,2,8,9,8,10,2,1,40,2019 Q1
25,2019,1,Igabi,Female,0,3,12,8,3,3,0,1,30,2019 Q1
26,2019,2,Igabi,Male,0,0,4,10,8,1,0,3,26,2019 Q2
27,2019,2,Igabi,Female,0,0,4,3,1,3,0,3,14,2019 Q2
28,2019,3,Igabi,Male,1,3,8,13,10,5,3,5,48,2019 Q3
29,2019,3,Igabi,Female,0,2,8,1,3,2,0,2,18,2019 Q3
