,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
0,2019,1,Birnin-Gwari,Male,0,0,1,0,0,0,0,0,1,2019 Q1
1,2019,1,Birnin-Gwari,Female,0,0,0,0,1,0,0,0,1,2019 Q1
2,2019,2,Birnin-Gwari,Male,0,0,0,0,0,0,0,0,0,2019 Q2
3,2019,2,Birnin-Gwari,Female,0,0,0,0,0,0,0,0,0,2019 Q2
4,2019,3,Birnin-Gwari,Male,0,0,0,0,0,0,0,0,0,2019 Q3
5,2019,3,Birnin-Gwari,Female,0,0,0,0,0,0,0,0,0,2019 Q3
6,2019,4,Birnin-Gwari,Male,0,0,0,0,1,0,0,0,1,2019 Q4
7,2019,4,Birnin-Gwari,Female,0,0,0,0,0,0,0,0,0,2019 Q4
8,2019,1,Chikun,Male,0,0,0,2,4,1,1,0,8,2019 Q1
9,2019,1,Chikun,Female,0,0,0,5,1,1,0,0,7,2019 Q1
10,2019,2,Chikun,Male,0,0,0,1,0,0,1,0,2,2019 Q2
11,2019,2,Chikun,Female,0,0,1,1,3,0,0,0,5,2019 Q2
12,2019,3,Chikun,Male,0,0,0,3,3,0,0,0,6,2019 Q3
13,2019,3,Chikun,Female,0,0,1,3,1,1,0,0,6,2019 Q3
14,2019,4,Chikun,Male,0,1,0,0,1,0,0,0,2,2019 Q4
15,2019,4,Chikun,Female,0,0,0,3,3,0,0,0,6,2019 Q4
16,2019,1,Giwa,Male,0,1,2,0,1,0,1,0,5,2019 Q1
17,2019,1,Giwa,Female,0,0,2,3,4,1,0,0,10,2019 Q1
18,2019,2,Giwa,Male,0,0,1,2,1,0,2,1,7,2019 Q2
19,2019,2,Giwa,Female,1,0,2,1,1,0,1,0,6,2019 Q2
20,2019,3,Giwa,Male,2,3,4,1,2,0,1,1,14,2019 Q3
21,2019,3,Giwa,Female,2,0,0,2,1,1,0,0,6,2019 Q3
22,2019,4,Giwa,Male,0,1,1,2,0,1,0,0,5,2019 Q4
23,2019,4,Giwa,Female,1,0,3,3,1,1,0,0,9,2019 Q4
24,2019,1,Igabi,Male,0,0,0,1,1,1,0,0,3,2019 Q1
25,2019,1,Igabi,Female,0,0,1,1,0,0,0,0,2,2019 Q1
26,2019,2,Igabi,Male,0,0,0,1,1,1,0,1,4,2019 Q2
27,2019,2,Igabi,Female,0,0,0,0,0,1,0,0,1,2019 Q2
28,2019,3,Igabi,Male,0,0,0,0,0,1,0,0,1,2019 Q3
29,2019,3,Igabi,Female,0,0,0,0,1,0,0,0,1,2019 Q3
30,2019,4,Igabi,Male,0,0,0,2,2,0,1,0,5,2019 Q4
31,2019,4,Igabi,Female,0,0,1,0,0,0,0,0,1,2019 Q4
32,2019,1,Ikara,Male,0,0,0,0,0,0,0,0,0,2019 Q1
33,2019,1,Ikara,Female,0,0,0,0,0,0,0,0,0,2019 Q1
34,2019,2,Ikara,Male,0,0,0,0,0,0,1,0,1,2019 Q2
35,2019,2,Ikara,Female,0,0,0,1,0,0,0,0,1,2019 Q2
36,2019,3,Ikara,Male,0,0,0,0,0,0,0,0,0,2019 Q3
37,2019,3,Ikara,Female,0,0,0,0,0,0,0,0,0,2019 Q3
38,2019,4,Ikara,Male,0,0,0,0,1,0,0,0,1,2019 Q4
39,2019,4,Ikara,Female,0,0,0,1,1,0,0,0,2,2019 Q4
40,2019,1,Jaba,Male,0,0,0,0,0,0,0,0,0,2019 Q1
41,2019,1,Jaba,Female,0,0,1,0,0,0,0,0,1,2019 Q1
42,2019,2,Jaba,Male,0,0,0,0,0,1,0,0,1,2019 Q2
43,2019,2,Jaba,Female,0,0,0,1,2,1,0,0,4,2019 Q2
44,2019,3,Jaba,Male,0,0,0,0,1,0,0,1,2,2019 Q3
45,2019,3,Jaba,Female,0,0,0,0,1,0,0,0,1,2019 Q3
46,2019,4,Jaba,Male,0,0,0,1,1,0,0,0,2,2019 Q4
47,2019,4,Jaba,Female,0,0,0,0,1,0,0,0,1,2019 Q4
48,2019,1,Jema'a,Male,0,0,0,2,1,1,0,0,4,2019 Q1
49,2019,1,Jema'a,Female,0,0,0,2,0,0,0,0,2,2019 Q1
50,2019,2,Jema'a,Male,0,0,0,0,2,1,0,0,3,2019 Q2
51,2019,2,Jema'a,Female,0,0,0,0,0,0,0,0,0,2019 Q2
52,2019,3,Jema'a,Male,0,0,0,0,2,0,1,0,3,2019 Q3
53,2019,3,Jema'a,Female,0,0,0,0,0,0,1,0,1,2019 Q3
54,2019,4,Jema'a,Male,0,0,0,0,0,0,0,0,0,2019 Q4
55,2019,4,Jema'a,Female,0,0,0,0,0,0,0,0,0,2019 Q4
56,2019,1,Kachia,Male,0,0,0,1,0,1,0,0,2,2019 Q1
57,2019,1,Kachia,Female,0,0,0,1,0,0,0,0,1,2019 Q1
58,2019,2,Kachia,Male,0,0,0,0,2,0,0,0,2,2019 Q2
59,2019,2,Kachia,Female,0,0,0,1,1,0,0,0,2,2019 Q2
60,2019,3,Kachia,Male,0,0,0,0,0,0,0,0,0,2019 Q3
61,2019,3,Kachia,Female,0,0,0,1,0,0,0,0,1,2019 Q3
62,2019,4,Kachia,Male,0,0,0,0,0,0,0,0,0,2019 Q4
63,2019,4,Kachia,Female,0,0,0,0,0,0,0,0,0,2019 Q4
64,2019,1,Kaduna North,Male,0,0,0,2,4,5,0,0,11,2019 Q1
65,2019,1,Kaduna North,Female,0,1,1,4,2,3,1,0,12,2019 Q1
66,2019,2,Kaduna North,Male,0,1,1,7,7,4,2,1,23,2019 Q2
67,2019,2,Kaduna North,Female,0,0,1,2,4,1,0,1,9,2019 Q2
68,2019,3,Kaduna North,Male,0,0,3,2,3,5,1,1,15,2019 Q3
69,2019,3,Kaduna North,Female,0,1,3,2,3,4,0,1,14,2019 Q3
70,2019,4,Kaduna North,Male,0,0,1,0,3,2,1,0,7,2019 Q4
71,2019,4,Kaduna North,Female,0,0,0,1,4,1,0,1,7,2019 Q4
72,2019,1,Kaduna South,Male,0,0,0,1,7,6,2,0,16,2019 Q1
73,2019,1,Kaduna South,Female,0,1,1,6,4,3,2,0,17,2019 Q1
74,2019,2,Kaduna South,Male,1,0,0,0,6,8,0,0,15,2019 Q2
75,2019,2,Kaduna South,Female,0,0,0,7,4,1,0,0,12,2019 Q2
76,2019,3,Kaduna South,Male,1,0,2,2,9,2,2,0,18,2019 Q3
77,2019,3,Kaduna South,Female,0,0,1,5,5,0,1,3,15,2019 Q3
78,2019,4,Kaduna South,Male,0,0,1,1,9,7,0,2,20,2019 Q4
79,2019,4,Kaduna South,Female,0,0,2,4,3,4,2,0,15,2019 Q4
80,2019,1,Kagarko,Male,0,0,0,1,1,0,0,0,2,2019 Q1
81,2019,1,Kagarko,Female,0,0,1,0,0,0,0,0,1,2019 Q1
82,2019,2,Kagarko,Male,0,0,0,0,0,0,0,0,0,2019 Q2
83,2019,2,Kagarko,Female,0,0,1,0,0,0,0,0,1,2019 Q2
84,2019,3,Kagarko,Male,0,0,0,0,0,0,0,0,0,2019 Q3
85,2019,3,Kagarko,Female,0,0,0,0,0,0,0,0,0,2019 Q3
86,2019,4,Kagarko,Male,0,0,0,1,0,0,0,0,1,2019 Q4
87,2019,4,Kagarko,Female,0,0,0,0,1,0,0,0,1,2019 Q4
88,2019,1,Kajuru,Male,0,0,0,0,0,0,0,0,0,2019 Q1
89,2019,1,Kajuru,Female,0,0,0,0,0,0,0,0,0,2019 Q1
90,2019,2,Kajuru,Male,0,0,0,0,0,0,0,0,0,2019 Q2
91,2019,2,Kajuru,Female,0,0,0,0,1,0,0,0,1,2019 Q2
92,2019,3,Kajuru,Male,0,0,0,0,0,0,0,0,0,2019 Q3
93,2019,3,Kajuru,Female,0,0,0,0,0,0,0,0,0,2019 Q3
94,2019,4,Kajuru,Male,0,0,0,0,0,0,0,0,0,2019 Q4
95,2019,4,Kajuru,Female,0,0,0,0,0,0,0,0,0,2019 Q4
96,2019,1,Kaura,Male,0,1,0,1,0,0,0,0,2,2019 Q1
97,2019,1,Kaura,Female,0,0,0,0,2,0,0,0,2,2019 Q1
98,2019,2,Kaura,Male,0,0,0,0,3,0,0,0,3,2019 Q2
99,2019,2,Kaura,Female,0,0,0,0,0,0,0,0,0,2019 Q2
100,2019,3,Kaura,Male,0,0,0,0,1,0,0,0,1,2019 Q3
101,2019,3,Kaura,Female,0,0,0,0,0,0,0,0,0,2019 Q3
102,2019,4,Kaura,Male,0,0,0,0,0,1,0,0,1,2019 Q4
103,2019,4,Kaura,Female,0,0,0,0,0,0,0,0,0,2019 Q4
104,2019,1,Kauru,Male,0,0,0,0,0,0,0,0,0,2019 Q1
105,2019,1,Kauru,Female,0,0,0,0,0,0,0,0,0,2019 Q1
106,2019,2,Kauru,Male,0,0,0,0,0,0,0,0,0,2019 Q2
107,2019,2,Kauru,Female,0,0,0,0,0,0,0,0,0,2019 Q2
108,2019,3,Kauru,Male,0,0,0,0,0,0,0,0,0,2019 Q3
109,2019,3,Kauru,Female,0,0,0,0,0,0,0,0,0,2019 Q3
110,2019,4,Kauru,Male,0,0,0,1,0,0,0,0,1,2019 Q4
111,2019,4,Kauru,Female,0,0,0,0,0,0,0,0,0,2019 Q4
112,2019,1,Kubau,Male,0,0,0,0,1,0,0,0,1,2019 Q1
113,2019,1,Kubau,Female,0,0,1,1,1,0,0,0,3,2019 Q1
114,2019,2,Kubau,Male,0,0,0,0,0,0,0,0,0,2019 Q2
115,2019,2,Kubau,Female,0,0,1,0,0,0,0,1,2,2019 Q2
116,2019,3,Kubau,Male,0,0,0,0,0,0,0,0,0,2019 Q3
117,2019,3,Kubau,Female,0,0,0,0,0,0,0,0,0,2019 Q3
118,2019,4,Kubau,Male,0,0,1,0,0,0,0,0,1,2019 Q4
119,2019,4,Kubau,Female,0,0,0,0,0,0,0,0,0,2019 Q4
120,2019,1,Kudan,Male,0,0,0,0,0,0,0,0,0,2019 Q1
121,2019,1,Kudan,Female,0,1,0,0,0,0,0,0,1,2019 Q1
122,2019,2,Kudan,Male,0,0,0,0,0,0,0,0,0,2019 Q2
123,2019,2,Kudan,Female,0,0,0,0,0,0,0,0,0,2019 Q2
124,2019,3,Kudan,Male,0,0,0,0,0,0,0,0,0,2019 Q3
125,2019,3,Kudan,Female,0,0,0,0,0,0,0,0,0,2019 Q3
126,2019,4,Kudan,Male,0,0,0,0,0,1,0,0,1,2019 Q4
127,2019,4,Kudan,Female,0,0,0,0,0,0,0,0,0,2019 Q4
128,2019,1,Lere,Male,0,1,0,0,0,0,0,0,1,2019 Q1
129,2019,1,Lere,Female,0,0,0,0,0,0,0,0,0,2019 Q1
130,2019,2,Lere,Male,0,0,0,1,1,0,0,0,2,2019 Q2
131,2019,2,Lere,Female,0,0,0,0,0,0,0,0,0,2019 Q2
132,2019,3,Lere,Male,0,0,0,1,0,0,0,0,1,2019 Q3
