,Year,Quarter,LGA,Male Total TB Cases Notified,Female Total TB Cases Notified,Male TB HIV Positive Cases,Female TB HIV Positive Cases,Male TB HIV Negative Cases,Female TB HIV Negative Cases,Male TB HIV Unknown Cases,Female TB HIV Unknown Cases,TB/HIV CPT,TB/HIV ART,Year_Quarter
0,2019,1,Birnin-Gwari,17,8,1,1,16,7,0,0,2,2,2019 Q1
1,2019,2,Birnin-Gwari,11,8,0,0,11,8,0,0,0,0,2019 Q2
2,2019,3,Birnin-Gwari,13,1,0,0,13,1,0,0,0,0,2019 Q3
3,2019,4,Birnin-Gwari,7,3,1,0,6,3,0,0,1,1,2019 Q4
4,2019,1,Chikun,49,26,8,7,41,19,0,0,15,15,2019 Q1
5,2019,2,Chikun,50,25,2,5,48,20,0,0,7,7,2019 Q2
6,2019,3,Chikun,57,16,6,6,51,10,0,0,12,12,2019 Q3
7,2019,4,Chikun,49,26,2,6,47,20,0,0,8,8,2019 Q4
8,2019,1,Giwa,18,20,5,10,13,10,0,0,15,15,2019 Q1
9,2019,2,Giwa,28,23,7,6,21,17,0,0,13,13,2019 Q2
10,2019,3,Giwa,31,15,14,6,17,9,0,0,20,20,2019 Q3
11,2019,4,Giwa,19,27,5,9,14,18,0,0,14,14,2019 Q4
12,2019,1,Igabi,40,30,3,2,37,28,0,0,5,5,2019 Q1
13,2019,2,Igabi,26,14,4,1,22,13,0,0,5,5,2019 Q2
14,2019,3,Igabi,48,18,1,1,47,17,0,0,2,2,2019 Q3
15,2019,4,Igabi,51,25,5,1,46,24,0,0,6,6,2019 Q4
16,2019,1,Ikara,11,2,0,0,11,2,0,0,0,0,2019 Q1
17,2019,2,Ikara,13,7,1,1,12,6,0,0,2,2,2019 Q2
18,2019,3,Ikara,12,6,0,0,12,6,0,0,0,0,2019 Q3
19,2019,4,Ikara,12,10,1,2,11,8,0,0,3,3,2019 Q4
20,2019,1,Jaba,15,5,0,1,15,4,0,0,1,1,2019 Q1
21,2019,2,Jaba,15,7,1,4,14,3,0,0,5,5,2019 Q2
22,2019,3,Jaba,9,3,2,1,7,2,0,0,3,3,2019 Q3
23,2019,4,Jaba,12,3,2,1,10,2,0,0,3,3,2019 Q4
24,2019,1,Jema'a,35,16,4,2,25,11,6,3,6,6,2019 Q1
25,2019,2,Jema'a,29,9,3,0,26,9,0,0,3,3,2019 Q2
26,2019,3,Jema'a,37,21,3,1,34,20,0,0,4,4,2019 Q3
27,2019,4,Jema'a,31,12,0,0,31,12,0,0,0,0,2019 Q4
28,2019,1,Kachia,30,13,2,1,28,12,0,0,3,3,2019 Q1
29,2019,2,Kachia,24,20,2,2,22,18,0,0,4,4,2019 Q2
30,2019,3,Kachia,48,34,0,1,48,33,0,0,1,1,2019 Q3
31,2019,4,Kachia,46,33,0,0,46,33,0,0,0,0,2019 Q4
32,2019,1,Kaduna North,88,65,11,12,77,53,0,0,23,23,2019 Q1
33,2019,2,Kaduna North,114,65,23,9,91,56,0,0,32,32,2019 Q2
34,2019,3,Kaduna North,112,69,15,14,97,55,0,0,29,29,2019 Q3
35,2019,4,Kaduna North,100,76,7,7,93,69,0,0,14,14,2019 Q4
36,2019,1,Kaduna South,99,59,16,17,79,41,4,1,33,33,2019 Q1
37,2019,2,Kaduna South,136,63,15,12,121,51,0,0,27,27,2019 Q2
38,2019,3,Kaduna South,125,63,18,15,107,48,0,0,33,33,2019 Q3
